Date;Hyper23_;Physali;BroMine__;laloutresolide;Tintamax;NoRat4me;MrJerem1054;Trinom;goombaterror;ted_bouletteHD;Maalcha;WayziiK;Pacffpifff;JOK0X;Rompopo;LipikYT;Nekiroks;miner1166;Romanitors;Zero_Respect;RaiiZou;L0wBly;hades666__;blunt38;Slibidjy;WizZLe___;Eclair93;LifeIsPurple_;ARWO_BN95;Mompty;DMTsix;ChefDrLeGuiDu69;Kungun33;Mejou;lzxa2;0livierMinecraft;Amnz08;Tixam;Yuno436;NuuucKK_;MugiwaraBakaYaro;Bazinz1YT;NewZeWeR;MorgannThs;OshaKomo;Risano;toxyk06;cosmic_limule;Ytree6239;WyShirong;Tchiiko;Mister_Outop9;Exionne;Stazya;Timaitre;Livreur_DHL;Estal_payyz;Shaif49;Ruruwash;GxPeyz;ADN_PAUL;ourstordu;F0rtimel;MaxoO0u;RGKxinvincible;Sohammy7;SkyZix22;Ewzyz;KickzXVI;_RyZeh;AzRiox;Kamitsura;Bacon50;BellArnaque;blackvoid38;AnGeliX80;Septic_4ever;SarKyous;TortueBeVert;IamVeryBad__;UnNainConvenu;Fantatus;Kooro_;OveR_Flamme;Artefis;Zalenco;Ziratox;PlotPlotted;John270723;ImNotMe__;Monkeytitan_tv;Crepe0sucre_;3FPSPrime;SkyGrall;BigEDCubs;Xragolf;Instincty_LeGoat;Raslagafe;lerouleurpro;toto76700;Dicaprio_prime;MathCraft_8;rinra_;ZeuSWiSe9119;_Naytixs;Snaft64;Kyokko_;Redgurd;La_Mouette__;RushEnderYt;Mat_09;Isaac_Foster_YT;IISkylowII;BOEY658;Necromantien;oramni23;BusEscargot1172;_Xultra_;xTempestWolfx;zKishuxeio;Alexx3909
13/04/2024 19h54;36616297152304.0;48720327766201.0;2656957073060.0;6163484084072.0;39635540540080.0;6458318461034.0;6080802575122.0;11372859964103.0;8427860315573.0;2974934840096.0;;13473466356236.0;;5249973956625.0;;;;;;;;4654185398347.0;;;;;;;;;;;;;;;;;6017546050562.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/04/2024 23h54;42618619438472.0;61550939648635.0;2656957073060.0;7735101466844.0;49669433320904.0;7737248558720.0;7149065430188.0;12981414965519.0;8571169490750.0;3502523758085.0;2926331727763.0;16247721376683.0;;5650425252405.0;;;;;;;;5425609640615.0;;;;;;;;;;;;;;;;;6168026140226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2024 23h24;52914981955467.0;74520218398721.0;2656957073060.0;8486696925496.0;56118263409688.0;9015462481036.0;8257760575252.0;14359894122338.0;8711954100215.0;3774750121914.0;3350631262728.0;17222714073151.0;;6053907716189.0;;;;;;;;6001214940103.0;;;;;;;;;;;;;;;;;6168026140226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/04/2024 21h28;64234526757387.0;84960896543589.0;2656957073060.0;9667362453732.0;59258144360969.0;10446262039889.0;9284525660167.0;14948211590992.0;8711954100215.0;3869564712386.0;3707728657987.0;17981155820501.0;;6496023796121.0;;;;;;;;6688509694759.0;;;;;;;;;;;;;;;;;6168026140226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/04/2024 23h09;83909063369313.0;103489254094602.0;2656957073060.0;11187112362448.0;68183811517120.0;12738927894220.0;10755552433670.0;16740212876890.0;8711954100215.0;4160693607234.0;4359991864781.0;19154683753015.0;;7118160477253.0;;;;;;;;7804330765881.0;;;;;;;;;;;;;;;;;6168026140226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/2024 19h50;101388729968217.0;121628647775507.0;2656957073060.0;12524165739236.0;74855067589513.0;15025996557634.0;12337500627341.0;18703489938844.0;8711954100215.0;4243620900312.0;4829434647067.0;20505859807483.0;;7756954779320.0;;;;;;;;8346144167185.0;;;;;;;;;;;;;;;;;6168026140226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/04/2024 22h03;120710263303807.0;142772520729442.0;2656957073060.0;13718801620167.0;78264871244647.0;17418858622930.0;13498372921178.0;20904086135104.0;8711954100215.0;4498875008759.0;5558247627740.0;22248897233791.0;4371942170077.0;8224351506474.0;3886425572082.0;2090510137426.0;2537339418043.0;3937726293764.0;1392246478526.0;2256592242281.0;4266865894819.0;9512003846603.0;3663101926209.0;2259952083529.0;4350590001640.0;1440006385594.0;1681246291124.0;2266461994561.0;598638622125.0;1287822744906.0;1908393993391.0;1165008783149.0;1467185516226.0;1357277639310.0;1065314727741.0;1108312913108.0;848100211970.0;432034107699.0;6168026140226.0;2772691276893.0;886057800376.0;735955001616.0;856156395624.0;967766274658.0;2116777859944.0;412388559627.0;834916874073.0;844974357464.0;742808548118.0;2858726297421.0;588980694659.0;521783773610.0;632563051768.0;864324031615.0;;992012379082.0;709855820320.0;665453575262.0;558435760573.0;683026781842.0;374921386265.0;;433868660180.0;564680624194.0;532556342689.0;411193413177.0;447151976136.0;561584502992.0;;314190405915.0;630645717362.0;;289025808556.0;1459092811558.0;519920619039.0;;;431346690709.0;;292621289180.0;372614232172.0;316268818918.0;;;;;1104802761963.0;297525998720.0;465632720075.0;1698702908233.0;377260649702.0;;;589006703060.0;;752610559948.0;;;758897363684.0;577881892994.0;284246260827.0;548115144812.0;373899176415.0;286693721698.0;330787134377.0;;844405528793.0;830568446046.0;1039036274610.0;;608101099551.0;921467116164.0;574230932222.0;;292266926668.0;;406579096081.0;373280199767.0;327737399253.0;284783805986.0;
20/04/2024 20h22;159344309303856.0;183851620770030.0;2695990300741.0;16949239718844.0;86286493482781.0;21780710017418.0;16030108132104.0;24274661577184.0;8711954100215.0;5333472682412.0;6470332231964.0;27276075308375.0;4898465813636.0;9087439040153.0;4127685201656.0;2329867979069.0;2931858473058.0;4530031476365.0;1536467526358.0;2673097111413.0;4895800791412.0;11353938012639.0;4067399238897.0;2529249250247.0;4941796093305.0;1674238987556.0;1911763440538.0;2518972479056.0;692693833153.0;1346878859450.0;2047862086215.0;1319111810752.0;1733171490145.0;1628796338511.0;1159951161325.0;1145422024400.0;924710126667.0;482340549811.0;6168026140226.0;2922619203961.0;966527749106.0;841974380755.0;922584849549.0;1114412041567.0;2444695706607.0;494100880703.0;877586132452.0;960202791057.0;889674897904.0;2937251528064.0;672948643284.0;648950841081.0;654135525028.0;955723227564.0;;1013264280772.0;747380430436.0;716647306911.0;649545567257.0;880906568602.0;431166486601.0;;471482012858.0;607082919157.0;629767879677.0;506692154793.0;515856815754.0;676382148694.0;;377495344781.0;687966921402.0;;355222718450.0;1488229705606.0;583648973009.0;;;492422987079.0;;351680534436.0;394924811258.0;320092279532.0;;;;;1198341006572.0;364238589472.0;522202413937.0;1698702908233.0;467068688899.0;;;617565325017.0;;801246180908.0;;;783392579007.0;595949383698.0;;554148722491.0;400764619120.0;352216139661.0;335285961017.0;;929636010598.0;904991511512.0;1039036274610.0;327142498028.0;628785924999.0;921467116164.0;574230932222.0;;315295602168.0;331370965301.0;406579096081.0;373280199767.0;327737399253.0;;
21/04/2024 23h11;197378383211804.0;224967303757035.0;3700128795358.0;20284070188504.0;94958012456609.0;26768922134424.0;19211725612184.0;28151469114204.0;8711954100215.0;6133491449528.0;7312731097808.0;31241605810041.0;5679737375159.0;9481419128303.0;4692383883631.0;2706591899966.0;3602480287410.0;4977424922634.0;1797700025170.0;2875691526545.0;5438732359825.0;12071839195517.0;4629556251378.0;2644931787724.0;5280441456100.0;1912641249808.0;2045647635926.0;2845662835501.0;854163406633.0;1559996384085.0;2170416912703.0;1522951848364.0;1922448551575.0;1930446096254.0;1221099802221.0;1199629431424.0;1032635087126.0;587248718184.0;6168026140226.0;3072153134845.0;1082465406084.0;1040618992583.0;939218491661.0;1464044181205.0;2849960549464.0;590936691890.0;990941410421.0;1075539114273.0;1039683813118.0;3033842557442.0;800107482694.0;750457715411.0;659755158096.0;1070977070499.0;;1055953306283.0;802414003983.0;787887252987.0;727678887333.0;1126798464855.0;505281041836.0;;529277029114.0;723832622984.0;734566799456.0;554138265313.0;594754000098.0;718392819720.0;329639852545.0;428375517030.0;760418075616.0;;433566699300.0;1514443792306.0;645440496315.0;;;557710887561.0;;435564389442.0;401893659864.0;;;;;;1293174333204.0;402290516916.0;589263105642.0;1698702908233.0;548203149019.0;;;705116902438.0;;839052032510.0;;;783392579007.0;671967934408.0;347537329851.0;554148722491.0;400764619120.0;439951219144.0;336503176017.0;;1010310877077.0;920512001150.0;1039036274610.0;378238242416.0;689046170365.0;921467116164.0;574230932222.0;;339328255459.0;395609989257.0;406579096081.0;373280199767.0;;;
22/04/2024 20h35;243280521228918.0;275520685900254.0;4576376859306.0;23904886131373.0;105124514539375.0;29594489104722.0;22672733233399.0;33604469619963.0;9049121268370.0;7025758451242.0;8213089283668.0;35120053228866.0;6468878825089.0;10329276653675.0;5292494789645.0;3095604361139.0;4087787298540.0;5101490977150.0;2013963117978.0;3203583824605.0;6181199458600.0;12305889035081.0;5045234771232.0;2837065036650.0;5280441456100.0;2055507504576.0;2391991445238.0;3247070721873.0;1003185826302.0;1648053733790.0;2532360670865.0;1716682463118.0;2265308516042.0;2178235192460.0;1238316219693.0;1269324707901.0;1190816097217.0;676857803784.0;6168026140226.0;3223673747737.0;1191296478472.0;1140246816429.0;1106703975826.0;1609092197897.0;3181299540545.0;701595212289.0;1137200322348.0;1170038509301.0;1102467258935.0;3036259075858.0;880138107601.0;881183729805.0;659755158096.0;1142786824439.0;;1117478444955.0;840336699859.0;869318574153.0;819838859578.0;1210839866561.0;534946454180.0;;579709880622.0;807119890897.0;786641835445.0;614052752003.0;656441226491.0;803150077187.0;412921293269.0;495343765852.0;825444024048.0;;449948483280.0;1575293531870.0;715785775082.0;;;624577915806.0;;456204850708.0;465420221105.0;369274218932.0;;;;;1413561632790.0;426179426841.0;616089125226.0;1698702908233.0;626782681416.0;;;747550776995.0;;863044900424.0;;;798769784392.0;701200527062.0;375996892123.0;564960939491.0;424387954225.0;499950439084.0;;;1115191930246.0;921921257876.0;1039036274610.0;432731770678.0;759022611242.0;921467116164.0;574230932222.0;;378230962565.0;426743798920.0;406579096081.0;373910273647.0;;;
23/04/2024 21h43;303448653371168.0;339550770687754.0;5862285819238.0;28637624048308.0;117658899189172.0;30302770127556.0;26893784089935.0;38542792370921.0;11028715033768.0;7927322045607.0;9291627234760.0;39193336461570.0;7504417386169.0;11582986583081.0;6036255586921.0;3480756390008.0;4557132948287.0;5769629746564.0;2565518633159.0;3549483791419.0;7046894894800.0;12640728752549.0;5550976609632.0;2943828262399.0;5280441456100.0;2235390353061.0;2659987478144.0;3757023847236.0;1140470234694.0;1707032400394.0;2975140258693.0;1965829009712.0;2604345455124.0;2262451260527.0;1239804783661.0;1435492583483.0;1282877578230.0;789624403734.0;6168026140226.0;3296537488581.0;1289401066723.0;1251409819065.0;1141729784740.0;1796778422217.0;3533503544164.0;823967521158.0;1202117122940.0;1227516165290.0;1159335732385.0;3036259075858.0;991978432621.0;1005377839583.0;659755158096.0;1238057227223.0;;1277661991330.0;902182487440.0;975683532723.0;874005838412.0;1297071659847.0;603701601201.0;446497688866.0;611333418222.0;874919640802.0;858129146062.0;656749012947.0;696428589133.0;922064676292.0;488213420135.0;543604876738.0;916568945118.0;;472465853420.0;1657301563304.0;747372663894.0;;;713414681746.0;;491459983680.0;511463165512.0;434428916631.0;;;;;1505834208582.0;468387631653.0;655591500482.0;1698702908233.0;663531396105.0;;;747550776995.0;;914740773281.0;;;830183921583.0;742313562452.0;442735159236.0;587476558551.0;443938643222.0;539690141536.0;410806744975.0;;1224071555796.0;923442508514.0;1039036274610.0;490486201822.0;819694455727.0;921467116164.0;574230932222.0;;410226669603.0;461978120850.0;;;;;
24/04/2024 21h47;369219696488969.0;407963013105666.0;7158922660490.0;32902257565106.0;123745435246577.0;35362208192216.0;31703962919258.0;43305897770584.0;12121513988972.0;9156600388144.0;10243553484470.0;39360732154434.0;7966508418825.0;12272339464195.0;6716184373855.0;3857562098483.0;5162322602580.0;6065237819698.0;3076630873362.0;4033401228832.0;7506483864400.0;12866623252563.0;5975443231264.0;2943828262399.0;5280441456100.0;2391245681056.0;2836101165687.0;4218507671083.0;1308501894110.0;2032809510223.0;3255577917440.0;2210368094740.0;2913518373627.0;2262451260527.0;1304468001589.0;1474065720598.0;1435625032002.0;869559186784.0;6168026140226.0;3450719811941.0;1407611545480.0;1308749251189.0;1222448116140.0;1812831385529.0;3640378914316.0;926590731171.0;1273644603890.0;1342645956990.0;1234552740079.0;3117700977257.0;1054571609021.0;1155338331843.0;667604728608.0;1366982147794.0;;1402924124305.0;960629671840.0;1067781771787.0;905569948595.0;1491151625434.0;665607185663.0;522477032337.0;638371161844.0;910828271202.0;919742084943.0;733827963373.0;749820091813.0;940790350849.0;548058375979.0;587871591020.0;981191380597.0;484030658539.0;496187700488.0;1810526551004.0;774560126752.0;;;763335394524.0;;528776161731.0;558265795794.0;446561645837.0;;;;;1589047002241.0;479044924211.0;688225864544.0;1698702908233.0;731894329746.0;;;747550776995.0;;943419685184.0;;;853196680296.0;799099990502.0;515049442048.0;605805960137.0;443938643222.0;562933198120.0;458331102073.0;;1224071555796.0;958135733698.0;1039036274610.0;541877753656.0;833406095917.0;921467116164.0;574230932222.0;;;493276178508.0;;;;;
25/04/2024 21h54;426450671489216.0;483700874018766.0;8915322797809.0;38461426675116.0;134533431827286.0;43195397709116.0;39438800045944.0;49379482189444.0;14328138767671.0;10354747191413.0;11490485274750.0;42768857567918.0;9146036276857.0;13352545719714.0;7609332744923.0;4448051830269.0;6032669222513.0;6449291574830.0;3732685887741.0;4638926097498.0;8192369841813.0;13214960452768.0;6461712184009.0;3023736178129.0;5280441456100.0;2641494388720.0;3171665164962.0;4597377015442.0;1594440532743.0;2116306747454.0;3349446533299.0;2528959280254.0;3524605327644.0;2425443002713.0;1416473322594.0;1477099413689.0;1594357806138.0;963820699734.0;6168026140226.0;3631696320477.0;1579600926923.0;1386276456582.0;1412450707333.0;1934631514027.0;3891815091554.0;1037359930412.0;1493168760119.0;1428748593987.0;1365200164891.0;3171524185056.0;1253433234524.0;1373593260115.0;675667554392.0;1472668131930.0;514572945430.0;1611511194421.0;1024243716280.0;1237290329182.0;1015121825793.0;1633718534796.0;720313253136.0;632825791893.0;705607070042.0;984985928623.0;1044918719771.0;803573475439.0;840478956019.0;1052603440115.0;626820970987.0;673336195151.0;1095010397069.0;563243250021.0;549353331776.0;1968569928597.0;855550930729.0;519689573207.0;;833293521336.0;;561029270768.0;602110942594.0;517503322924.0;;;;;1678837142747.0;;720806920414.0;1698702908233.0;757640380181.0;;;747550776995.0;;965507817398.0;;;853196680296.0;871111858354.0;600664491606.0;629751662687.0;;615022262686.0;504728526160.0;;1224071555796.0;1003842592290.0;1039036274610.0;641039100134.0;836828709847.0;921467116164.0;590741374766.0;;;493276178508.0;;;;;
26/04/2024 20h20;505658323173958.0;575171644708050.0;11498608154322.0;44626108621753.0;144633585043829.0;50878403247242.0;44945412656925.0;55043522380935.0;15568992771139.0;11599912083434.0;12968553933375.0;43288241914616.0;10194294551149.0;14691758634874.0;8586937346914.0;5030242197583.0;6612627028252.0;7053129213368.0;4355648294342.0;5132758084018.0;9001531302605.0;13214960452768.0;6899293694359.0;3160429889143.0;5860297763359.0;3059925152274.0;3435712425772.0;5103572336835.0;1787880602442.0;2171205287936.0;3569123932531.0;2950417907512.0;4024168103549.0;2623941633657.0;1487118956052.0;1559686231903.0;1758520609772.0;1113062654804.0;6168026140226.0;3827841534715.0;1652886714527.0;1509614443843.0;1739796600697.0;2027259726215.0;4070823075644.0;1189613900894.0;1694848051188.0;1601919995449.0;1508937190600.0;3171524185056.0;1410985143405.0;1412594339527.0;756125327384.0;1487247689766.0;616903939126.0;1851795254786.0;1106364552827.0;1415594675877.0;1144683098946.0;1733023928365.0;773515950792.0;733974617407.0;794248845334.0;1034502161225.0;1120478659406.0;812992566559.0;966749900389.0;1161292629549.0;683264722119.0;745893955487.0;1219309569421.0;666370069818.0;606147183475.0;2173825618647.0;944741263420.0;567036538649.0;;900176492614.0;;598264417121.0;671314236483.0;582991389570.0;;;;;1738240986917.0;;785354288545.0;1698702908233.0;780395505646.0;;;747550776995.0;;989647489586.0;;;860185476927.0;930635819629.0;641193905058.0;664953730046.0;531449111480.0;657301444074.0;576377539947.0;;1224071555796.0;1005282878392.0;1039036274610.0;688827257522.0;849699724747.0;921467116164.0;590741374766.0;;;;;;;;
28/04/2024 02h46;626634529013984.0;727996016881029.0;15830869746515.0;54599798607211.0;150280801140117.0;65633867480488.0;53261507731052.0;56723094456701.0;17058751453699.0;13806204970857.0;14628480058123.0;46553470898921.0;11698303608203.0;16846920487090.0;9753577420475.0;6007532478745.0;7665540694152.0;7344928931946.0;5806263252401.0;6253473973570.0;10495290706296.0;13769504739499.0;7437054042509.0;3726751756173.0;7145115632466.0;3437071028070.0;4065153040403.0;5752899433863.0;2235042630320.0;2578234652235.0;3698182004331.0;2980490900428.0;4565593283607.0;3208774040351.0;1865817883635.0;1750462434233.0;2093438972414.0;1414080812630.0;6168026140226.0;4143365302629.0;1951630671835.0;1724671340071.0;1893840585022.0;2281636108484.0;4168919925014.0;1453967619068.0;2042933940895.0;1876997400419.0;1714275586192.0;3266243293663.0;1622287069609.0;1602961846418.0;877622541048.0;1687407765160.0;758589131179.0;2142203096949.0;1349431334675.0;1588273368003.0;1210320577242.0;2194944848741.0;773515950792.0;843872525967.0;1015024574670.0;1218601327112.0;1120478659406.0;982439341730.0;1142505087939.0;1288849258571.0;726077691215.0;890629299979.0;1368671839927.0;838843957448.0;739053689147.0;2301171516942.0;1021152136608.0;715407971343.0;;990815163299.0;;732098449730.0;747150406688.0;665155674628.0;;;;;1827763522730.0;637695332708.0;860547492673.0;1698702908233.0;1002597328302.0;;;755623666085.0;;1103703972997.0;;;879430120251.0;986007618567.0;731295228738.0;734974711490.0;655713143010.0;743960576527.0;667554160975.0;;1224071555796.0;1013219410414.0;1039036274610.0;787869610020.0;883492458977.0;921467116164.0;;;;;;;;;
29/04/2024 00h07;721975393392647.0;832490004024422.0;20059748979368.0;65019242794504.0;173171849220768.0;75990964059309.0;59857007714465.0;57016321146765.0;17778303091163.0;15600297500148.0;16550701688909.0;48097734641849.0;12893716803013.0;17772916046698.0;10751442270327.0;6602214209121.0;8508852523761.0;8834526966570.0;6392023909889.0;6816470540482.0;11944280338704.0;14840217735586.0;7578304469609.0;4167874645507.0;8151886675114.0;3737833308832.0;4517490837499.0;6228704169215.0;2555555202377.0;2879609235740.0;3767761104547.0;2980490900428.0;5321254190222.0;3578296475466.0;2168761861082.0;1816964668943.0;2273700749800.0;1639153687860.0;6168026140226.0;4195711836457.0;2228908253010.0;1852879317553.0;1969732985748.0;2647896173060.0;4414642721684.0;1669998017432.0;2266609722434.0;2055098675922.0;1750479079684.0;3495078407802.0;1835616198684.0;1740894900214.0;983255917260.0;1771448468035.0;836823273885.0;2390336834295.0;1474093444903.0;1681739753519.0;1390434213505.0;2517152097576.0;843537478369.0;938722628107.0;1159584221053.0;1307590210156.0;1222371949638.0;1098949070010.0;1204816965811.0;1420890039545.0;824807259050.0;931549173320.0;1496550672107.0;969682960186.0;845109203602.0;2402867622853.0;1055686102338.0;825360500201.0;;1043945299027.0;;839860000157.0;770597008810.0;752367849841.0;;;;;1844512237329.0;723385754051.0;894073083035.0;1698702908233.0;1148457313053.0;;;768312404992.0;;1137617416537.0;;;1023359947934.0;1004726047401.0;808593568738.0;803099832262.0;677886974360.0;817464589743.0;745689570096.0;;1224071555796.0;1060406944100.0;1039036274610.0;838766003769.0;899481699467.0;921467116164.0;;;;;;;;;
30/04/2024 11h37;855164870761165.0;1020101298984455.0;31056670860658.0;78712985904337.0;200238722084424.0;92792787197129.0;71997430185630.0;57016321146765.0;21924518859303.0;17674404453739.0;20449993289467.0;49405705173989.0;13367481768324.0;19624467211238.0;12663949932371.0;7896997880013.0;9448814960169.0;10152693556506.0;7366316132718.0;7969111259423.0;14038762631080.0;15715671518851.0;8902781882352.0;5148410093695.0;10002964720187.0;4498554736994.0;5546353683083.0;6759392053890.0;3350354069756.0;3125801908868.0;4498385330161.0;3199905131346.0;6125716454478.0;4017002189074.0;2333974451773.0;2015360735888.0;2485250527224.0;2078941908938.0;6168026140226.0;4471587006407.0;2303019068818.0;2090660277765.0;2234302280917.0;2826828726544.0;4826078736174.0;1938899899983.0;2513449165322.0;2209382396337.0;1755513198772.0;3693136245845.0;2054587029934.0;1762729441779.0;1113961090352.0;1908619898132.0;1065839792541.0;2564368320785.0;1626125712622.0;1854980830110.0;1609882038108.0;2821699537346.0;1009889445434.0;1120346630183.0;1329008493816.0;1539199498514.0;1327901445735.0;1144004043258.0;1284303746946.0;1517828070053.0;1017188467649.0;1161493267524.0;1581985891013.0;1155422646768.0;897724167315.0;2513487422680.0;1105386278175.0;947156681343.0;837302633928.0;1163221428153.0;;905235630603.0;884700035318.0;868258817513.0;;;;;1896346614031.0;739964345657.0;902670512419.0;1698702908233.0;1241770844251.0;;;793518346574.0;;1244553281619.0;;;1049192520350.0;1004726047401.0;975170953388.0;989134658757.0;;817464589743.0;835599852654.0;;1224071555796.0;1089465250816.0;1039036274610.0;947543655220.0;914378399545.0;921467116164.0;;;;;;;;;
01/05/2024 12h16;990655279500198.0;1145159757391297.0;37784776446448.0;93599991263228.0;200238722084424.0;106859004367607.0;79109280120264.0;58522202898112.0;26412741268897.0;21885296686591.0;23543734383551.0;52887707613030.0;14675196945238.0;21525165777999.0;13832233644403.0;8884610842059.0;9839834764773.0;11214374155808.0;8999476452971.0;9010579361735.0;15779462068304.0;15721918385806.0;9182217554937.0;5447889505607.0;11512288355898.0;4921537611996.0;6007804793438.0;7039901649096.0;3947705464532.0;3491952610110.0;4775465966786.0;3879913930366.0;6536038542654.0;4380008851658.0;2844415587746.0;2259700093258.0;2736933647214.0;2608507397001.0;6168026140226.0;4673693319047.0;2518051742872.0;2361801464561.0;2631043066333.0;3117747931290.0;5109322809003.0;2087709753741.0;2757292508722.0;2333866139127.0;1868383056937.0;3949130006959.0;2221851393146.0;1900267341361.0;1238495527863.0;2018083747898.0;1220433416543.0;2851396423548.0;1790598884459.0;2023130806000.0;1686001952058.0;3064913918400.0;1108450927440.0;1269508249665.0;1491584585173.0;1695119917805.0;1508056834896.0;1266572961358.0;1476535694311.0;1572824727665.0;1124963717906.0;1275218022926.0;1782218189478.0;1348703492990.0;951562537557.0;2563031412364.0;1192559192915.0;1035204015997.0;941405546542.0;1260694883939.0;;964318289816.0;951225058583.0;1049550413670.0;;;;;1896346614031.0;793128538956.0;962471891581.0;1698702908233.0;1480334379772.0;;;793518346574.0;;1260848883108.0;;;1102672674925.0;1004726047401.0;1114332086424.0;1023635508059.0;;875484745733.0;863798657971.0;;1224071555796.0;1089465250816.0;1039036274610.0;966592495652.0;915177250091.0;921467116164.0;;;;;;;;;
02/05/2024 12h44;1160648060948848.0;1267488907521118.0;46725166186127.0;114148677448245.0;205133540562102.0;120704252546277.0;85144118270907.0;62156119378548.0;30387249138665.0;25505326561183.0;25064094078759.0;57502576249247.0;17090120440536.0;22877147251692.0;15649293861088.0;10588935892358.0;10351407441687.0;12400901326468.0;10719131307419.0;10006353303983.0;17578460359300.0;16082690088094.0;10022293025708.0;6100649597884.0;12473667384754.0;5434513692887.0;6544857510090.0;7039901649096.0;4438170946953.0;4132505829008.0;5129284298067.0;4048252068735.0;6536038542654.0;4795532193658.0;3220442231621.0;2693415040513.0;3057591450312.0;3165881074988.0;6168026140226.0;4981233328833.0;2960000862788.0;2707814689490.0;2844024517057.0;3488921334417.0;5494459471019.0;2295279509195.0;2789959777755.0;2574405981912.0;2049099424907.0;4291171961109.0;2396697500575.0;2148350132518.0;1347095938543.0;2062730068727.0;1445486850046.0;3115684844554.0;1947603366889.0;2261923526984.0;1754021017456.0;3471250468325.0;1240186678494.0;1490124743819.0;1725645980796.0;1865450446204.0;1625524197235.0;1377391987636.0;1663201230197.0;1688260789816.0;1216118457411.0;1429131755526.0;1918066662637.0;1547519736966.0;951562537557.0;2567027644884.0;1301294445352.0;1112232580175.0;1091556761501.0;1340515280163.0;;1034868929382.0;1085505761393.0;1234275452773.0;;;860834095277.0;;1913775882363.0;866754966413.0;1014703657981.0;1698702908233.0;1635777253158.0;;;;;1367151575618.0;;;1102672674925.0;1039838158116.0;1239242620144.0;1023681545635.0;;885634719119.0;863798657971.0;;1224071555796.0;1089465250816.0;1039036274610.0;966592495652.0;915450432143.0;921467116164.0;;;;;;;;;
03/05/2024 12h53;1339631114132617.0;1441423097600499.0;64526847448401.0;138064416831487.0;210724638492918.0;137377193851880.0;95993742474759.0;63941898482079.0;37132703439383.0;30958808549538.0;27658325995524.0;57548759957561.0;19267686445117.0;23331334831779.0;17166780528193.0;11923077380466.0;11475186503723.0;13136506063965.0;12067100309431.0;10463910638715.0;19383579217740.0;16113686446985.0;10520441572752.0;6752919917543.0;12473667384754.0;5879207301926.0;7018099964503.0;7039901649096.0;4868440014124.0;4714467676224.0;5821003399669.0;4583642784006.0;6788001061462.0;4795532193658.0;3566355942917.0;3230393914437.0;3343949032032.0;3682950600471.0;6168026140226.0;5055272825319.0;3293336834248.0;3061645063082.0;2973084157452.0;3737186901529.0;5626398992555.0;2556329475254.0;3015289907401.0;2838583654902.0;2267695021887.0;4460306358635.0;2402891146895.0;2171120273140.0;1565526601808.0;2246772628372.0;1716841146939.0;3254735691738.0;2338157633955.0;2409215849904.0;1886235871666.0;3599146599293.0;1391685780221.0;1730220304374.0;1939154112050.0;2065279367884.0;1727603429462.0;1493274872893.0;1750879101678.0;1849003214428.0;1385262245019.0;1553887949648.0;2000858914672.0;1794475905618.0;951562537557.0;2578607425628.0;1379245207654.0;1272348772745.0;1239142306993.0;1436327139171.0;961735700839.0;1208409246016.0;1154497556048.0;1302169088303.0;979421356630.0;;1002358187976.0;;1913775882363.0;950455074188.0;1115611994569.0;1698702908233.0;1643738874162.0;949550910658.0;;;;1467379729706.0;;;1120024316836.0;1055778132906.0;1281385287054.0;1023681545635.0;;;;;1224071555796.0;1089465250816.0;1039036274610.0;966592495652.0;941245440447.0;;;;;;;;;;
